run_id,operation,profile,mean_point_ns,mean_ci_low_ns,mean_ci_high_ns,median_point_ns,median_ci_low_ns,median_ci_high_ns
2026-08-15-m4-ac-run04,activate_receiver,MLKEM1024,211837.81816919163,210810.50417633442,212859.60977371267,210879.65423280426,210306.9658119658,211489.93442317916
2026-08-15-m4-ac-run04,activate_receiver,MLKEM768,140727.61214020266,140281.6583766767,141122.4040883476,141519.8486166008,141259.39047619049,141635.81140909088
2026-08-15-m4-ac-run04,activate_receiver,MLKEM768-X25519,170852.13132475677,170087.83426699156,171642.99332807522,170966.7437054367,170637.9084507042,171302.80208333334
2026-08-15-m4-ac-run04,activate_sender,MLKEM1024,134415.18884624017,134311.20156073524,134558.8863609763,134285.4307371662,134250.06026564052,134313.7668918919
2026-08-15-m4-ac-run04,activate_sender,MLKEM768,88348.99013228389,88267.6267128539,88440.52857515796,88273.42426147078,88251.10392156863,88295.34566276803
2026-08-15-m4-ac-run04,activate_sender,MLKEM768-X25519,122031.08609951116,121879.36440946018,122242.72599702443,121836.7847086853,121808.39104530061,121874.01924659702
2026-08-15-m4-ac-run04,binding,MLKEM1024,15.828299788598004,15.796772150783388,15.86041421373578,15.839496600450786,15.836501381908429,15.849898397817444
2026-08-15-m4-ac-run04,binding,MLKEM768,15.997045238679709,15.925999401478528,16.073803598917888,15.961556956784246,15.850114356583154,16.07676399892376
2026-08-15-m4-ac-run04,binding,MLKEM768-X25519,15.86088247997937,15.808609759212386,15.91347120960102,15.84314136798461,15.833576182817092,15.866176390920419
2026-08-15-m4-ac-run04,establish_channel,MLKEM1024,332705.8773476048,332414.65771516785,333037.6989811879,332190.95333333337,332068.8785087719,332322.70408163266
2026-08-15-m4-ac-run04,establish_channel,MLKEM768,219106.5348382229,218833.45322066947,219434.35951341953,218667.876939003,218611.70997150996,218757.06666666668
2026-08-15-m4-ac-run04,establish_channel,MLKEM768-X25519,281026.31695817003,280075.86999172723,282588.7528146974,279931.28543491865,279831.94943626324,280054.3378378378
