run_id,operation,profile,mean_point_ns,mean_ci_low_ns,mean_ci_high_ns,median_point_ns,median_ci_low_ns,median_ci_high_ns
2026-08-15-m4-e3-run04,seal_1k,MLKEM768-X25519,6209.39942500259,6203.67121182688,6215.887509473264,6197.056818181818,6193.211181434599,6204.612432823481
2026-08-15-m4-e3-run04,setup_receiver,MLKEM768,123491.98948891394,123391.86417557181,123609.3242447028,123367.12717359269,123335.98504273503,123416.94361525704
2026-08-15-m4-e3-run04,setup_receiver,MLKEM768-X25519,153023.99164013646,152759.766623732,153366.30001730908,152686.7457142857,152585.74115806827,152749.34126984127
2026-08-15-m4-e3-run04,setup_sender,MLKEM768,68619.78737895115,68564.31578268285,68683.21118649584,68642.98323716792,68610.31428571428,68680.55444444445
2026-08-15-m4-e3-run04,setup_sender,MLKEM768-X25519,98657.76399551949,98599.04769825563,98723.4641699552,98591.25900514581,98563.30454545455,98631.17283950618
2026-08-15-m4-e3-run05,open_1k,MLKEM768,6264.324040074756,6256.561355474902,6272.379612107098,6259.560597140455,6255.6,6263.972916666667
2026-08-15-m4-e3-run05,open_1k,MLKEM768-X25519,6270.423913498492,6263.049612778679,6278.137243251255,6265.626089799476,6261.267857142857,6267.94340034965
2026-08-15-m4-e3-run05,seal_1k,MLKEM768,6201.116550197042,6193.322985345492,6211.573993678852,6189.014116575592,6186.629464285715,6192.793650793651
2026-08-15-m4-e3-run05,seal_1k,MLKEM768-X25519,6204.815009874596,6193.905873983694,6218.161902408633,6188.886057692307,6186.885185185185,6190.010548387097
2026-08-15-m4-e3-run05,setup_receiver,MLKEM768,123450.26952363564,123363.73187640758,123554.82255169944,123354.55026455026,123275.25529637143,123422.22222222222
2026-08-15-m4-e3-run05,setup_receiver,MLKEM768-X25519,153516.9019728809,152938.52150198925,154255.30361910426,152677.49195011338,152620.92481203008,152808.76861167
2026-08-15-m4-e3-run05,setup_sender,MLKEM768,68647.0742832141,68599.48678409723,68700.6435586342,68662.71858696858,68538.67924528301,68694.83333333333
2026-08-15-m4-e3-run05,setup_sender,MLKEM768-X25519,98661.21480721713,98525.97431172527,98818.14854739967,98541.19893539297,98392.2909854851,98617.59641873278
2026-08-15-m4-e3-run06,open_1k,MLKEM768,6286.427513438378,6275.973806833772,6298.151007507067,6264.401861042184,6262.837209302325,6266.475862068965
2026-08-15-m4-e3-run06,open_1k,MLKEM768-X25519,6274.538247212992,6265.0413515971,6284.725367977398,6265.393638020043,6264.171073717949,6267.41796875
2026-08-15-m4-e3-run06,seal_1k,MLKEM768,6200.7895864258335,6194.006875632629,6208.939538076552,6186.708026509573,6185.864641159791,6191.196428571428
2026-08-15-m4-e3-run06,seal_1k,MLKEM768-X25519,6203.022503649181,6197.8486122306795,6209.443065297086,6195.830357142857,6193.668493150685,6198.908490566038
2026-08-15-m4-e3-run06,setup_receiver,MLKEM768,123295.87284007762,123230.34755758275,123371.37889116816,123229.66752479025,123160.50243780656,123276.5903432914
2026-08-15-m4-e3-run06,setup_receiver,MLKEM768-X25519,153014.72349196955,152715.76824138878,153409.7337415857,152633.4655172414,152575.0519760412,152676.84053156147
2026-08-15-m4-e3-run06,setup_sender,MLKEM768,68797.28900486702,68752.19064307617,68849.16601809976,68723.06104845446,68699.23245614035,68756.35869990225
2026-08-15-m4-e3-run06,setup_sender,MLKEM768-X25519,98738.51907403993,98667.59053091101,98816.95219027212,98705.15199290199,98662.19008264462,98722.72727272728
